country,year,forest_in_sqkm
Austria,1990,37756.7
Austria,1991,37819.17
Austria,1992,37881.64
Austria,1993,37944.11
Austria,1994,38006.58
Austria,1995,38069.05
Austria,1996,38131.52
Austria,1997,38193.99
Austria,1998,38256.46
Austria,1999,38318.93
Austria,2000,38381.4
Austria,2001,38406.46
Austria,2002,38431.52
Austria,2003,38456.58
Austria,2004,38481.64
Austria,2005,38506.7
Austria,2006,38531.76
Austria,2007,38556.82
Austria,2008,38581.880000000005
Austria,2009,38606.94
Austria,2010,38632.0
Austria,2011,38667.98
Austria,2012,38703.96
Austria,2013,38739.94
Austria,2014,38775.92
Austria,2015,38811.9
Austria,2016,38847.9
Austria,2017,38883.8
Austria,2018,38919.7
Austria,2019,38955.6
Austria,2020,38991.5
Austria,2021,38991.5
Belgium,2000,6673.0
Belgium,2001,6695.57
Belgium,2002,6718.139999999999
Belgium,2003,6740.71
Belgium,2004,6763.28
Belgium,2005,6785.85
Belgium,2006,6808.42
Belgium,2007,6830.990000000001
Belgium,2008,6853.56
Belgium,2009,6876.130000000001
Belgium,2010,6898.7
Belgium,2011,6897.56
Belgium,2012,6896.42
Belgium,2013,6895.280000000001
Belgium,2014,6894.139999999999
Belgium,2015,6893.0
Belgium,2016,6893.0
Belgium,2017,6893.0
Belgium,2018,6893.0
Belgium,2019,6893.0
Belgium,2020,6893.0
Belgium,2021,6893.0
Belgium-Luxembourg,1990,7632.0
Belgium-Luxembourg,1991,7622.799999999999
Belgium-Luxembourg,1992,7613.6
Belgium-Luxembourg,1993,7604.400000000001
Belgium-Luxembourg,1994,7595.2
Belgium-Luxembourg,1995,7586.0
Belgium-Luxembourg,1996,7576.799999999999
Belgium-Luxembourg,1997,7567.6
Belgium-Luxembourg,1998,7558.400000000001
Belgium-Luxembourg,1999,7549.2
Bulgaria,1990,33270.0
Bulgaria,1991,33318.0
Bulgaria,1992,33366.0
Bulgaria,1993,33414.0
Bulgaria,1994,33462.0
Bulgaria,1995,33510.0
Bulgaria,1996,33558.0
Bulgaria,1997,33606.0
Bulgaria,1998,33654.0
Bulgaria,1999,33702.0
Bulgaria,2000,33750.0
Bulgaria,2001,34112.0
Bulgaria,2002,34474.0
Bulgaria,2003,34836.0
Bulgaria,2004,35198.0
Bulgaria,2005,35560.0
Bulgaria,2006,35922.0
Bulgaria,2007,36284.0
Bulgaria,2008,36646.0
Bulgaria,2009,37008.0
Bulgaria,2010,37370.0
Bulgaria,2011,37562.0
Bulgaria,2012,37754.0
Bulgaria,2013,37946.0
Bulgaria,2014,38138.0
Bulgaria,2015,38330.0
Bulgaria,2016,38410.0
Bulgaria,2017,38540.0
Bulgaria,2018,38670.0
Bulgaria,2019,38800.0
Bulgaria,2020,38930.0
Bulgaria,2021,38930.0
Croatia,1992,18570.0
Croatia,1993,18605.0
Croatia,1994,18640.0
Croatia,1995,18675.0
Croatia,1996,18710.0
Croatia,1997,18745.0
Croatia,1998,18780.0
Croatia,1999,18815.0
Croatia,2000,18850.0
Croatia,2001,18885.0
Croatia,2002,18920.0
Croatia,2003,18955.0
Croatia,2004,18990.0
Croatia,2005,19025.0
Croatia,2006,19060.0
Croatia,2007,19095.0
Croatia,2008,19130.0
Croatia,2009,19165.0
Croatia,2010,19200.0
Croatia,2011,19204.0
Croatia,2012,19208.0
Croatia,2013,19212.0
Croatia,2014,19216.0
Croatia,2015,19220.0
Croatia,2016,19241202.0
Croatia,2017,19316.084000000003
Croatia,2018,19341.1
Croatia,2019,19366.1
Croatia,2020,19391.1
Croatia,2021,19391.1
Cyprus,1990,1611.1
Cyprus,1991,1621.6
Cyprus,1992,1632.1
Cyprus,1993,1642.6
Cyprus,1994,1653.1
Cyprus,1995,1663.6
Cyprus,1996,1674.1
Cyprus,1997,1684.6
Cyprus,1998,1695.1
Cyprus,1999,1705.6
Cyprus,2000,1716.1
Cyprus,2001,1717.33
Cyprus,2002,1718.56
Cyprus,2003,1719.7900000000002
Cyprus,2004,1721.02
Cyprus,2005,1722.25
Cyprus,2006,1723.48
Cyprus,2007,1724.71
Cyprus,2008,1725.94
Cyprus,2009,1727.17
Cyprus,2010,1728.4
Cyprus,2011,1728.14
Cyprus,2012,1727.88
Cyprus,2013,1727.62
Cyprus,2014,1727.36
Cyprus,2015,1727.1
Cyprus,2016,1726.1
Cyprus,2017,1725.9
Cyprus,2018,1725.6999999999998
Cyprus,2019,1725.5
Cyprus,2020,1725.3
Cyprus,2021,1725.3
Czechia,1993,26317.81
Czechia,1994,26325.68
Czechia,1995,26333.55
Czechia,1996,26341.42
Czechia,1997,26349.29
Czechia,1998,26357.16
Czechia,1999,26365.03
Czechia,2000,26372.9
Czechia,2001,26392.99
Czechia,2002,26413.08
Czechia,2003,26433.17
Czechia,2004,26453.26
Czechia,2005,26473.35
Czechia,2006,26493.44
Czechia,2007,26513.53
Czechia,2008,26533.620000000003
Czechia,2009,26553.71
Czechia,2010,26573.800000000003
Czechia,2011,26595.82
Czechia,2012,26617.84
Czechia,2013,26639.86
Czechia,2014,26661.88
Czechia,2015,26683.9
Czechia,2016,26698.5
Czechia,2017,26716.6
Czechia,2018,26734.7
Czechia,2019,26752.800000000003
Czechia,2020,26770.9
Czechia,2021,26770.9
Denmark,1990,5314.400000000001
Denmark,1991,5354.56
Denmark,1992,5394.719999999999
Denmark,1993,5434.880000000001
Denmark,1994,5475.04
Denmark,1995,5515.2
Denmark,1996,5555.36
Denmark,1997,5595.52
Denmark,1998,5635.68
Denmark,1999,5675.839999999999
Denmark,2000,5716.0
Denmark,2001,5730.89
Denmark,2002,5745.78
Denmark,2003,5760.67
Denmark,2004,5775.56
Denmark,2005,5790.45
Denmark,2006,5805.34
Denmark,2007,5820.2300000000005
Denmark,2008,5835.119999999999
Denmark,2009,5850.01
Denmark,2010,5864.9
Denmark,2011,5941.280000000001
Denmark,2012,6017.66
Denmark,2013,6094.04
Denmark,2014,6170.42
Denmark,2015,6246.799999999999
Denmark,2016,6246.599999999999
Denmark,2017,6256.0
Denmark,2018,6265.599999999999
Denmark,2019,6275.0
Denmark,2020,6284.400000000001
Denmark,2021,6284.400000000001
Estonia,1992,22124.98
Estonia,1993,22157.97
Estonia,1994,22190.96
Estonia,1995,22223.95
Estonia,1996,22256.94
Estonia,1997,22289.93
Estonia,1998,22322.92
Estonia,1999,22355.91
Estonia,2000,22388.9
Estonia,2001,22486.03
Estonia,2002,22583.16
Estonia,2003,22680.29
Estonia,2004,22777.42
Estonia,2005,22874.55
Estonia,2006,22971.68
Estonia,2007,23068.81
Estonia,2008,23165.94
Estonia,2009,23263.07
Estonia,2010,23360.2
Estonia,2011,23530.18
Estonia,2012,23700.16
Estonia,2013,23870.14
Estonia,2014,24040.120000000003
Estonia,2015,24210.1
Estonia,2016,24212.5
Estonia,2017,24384.0
Estonia,2018,24384.0
Estonia,2019,24384.0
Estonia,2020,24384.0
Estonia,2021,24384.0
Finland,1990,218753.3
Finland,1991,219323.61
Finland,1992,219893.92
Finland,1993,220464.23
Finland,1994,221034.54
Finland,1995,221604.85
Finland,1996,222175.16
Finland,1997,222745.47
Finland,1998,223315.78000000003
Finland,1999,223886.09
Finland,2000,224456.4
Finland,2001,224252.76
Finland,2002,224049.12
Finland,2003,223845.48
Finland,2004,223641.84000000003
Finland,2005,223438.2
Finland,2006,223234.56
Finland,2007,223030.92
Finland,2008,222827.28
Finland,2009,222623.64
Finland,2010,222420.0
Finland,2011,222754.0
Finland,2012,223088.0
Finland,2013,223422.0
Finland,2014,223756.0
Finland,2015,224090.0
Finland,2016,224090.0
Finland,2017,224090.0
Finland,2018,224090.0
Finland,2019,224090.0
Finland,2020,224090.0
Finland,2021,224090.0
France,1990,144360.0
France,1991,145212.0
France,1992,146064.0
France,1993,146916.0
France,1994,147768.0
France,1995,148620.0
France,1996,149472.0
France,1997,150324.0
France,1998,151176.0
France,1999,152028.0
France,2000,152880.0
France,2001,154011.0
France,2002,155142.0
France,2003,156273.0
France,2004,157404.0
France,2005,158535.0
France,2006,159666.0
France,2007,160797.0
France,2008,161928.0
France,2009,163059.0
France,2010,164190.0
France,2011,165024.0
France,2012,165858.0
France,2013,166692.0
France,2014,167526.0
France,2015,168360.0
France,2016,169194.0
France,2017,170028.0
France,2018,170862.0
France,2019,171696.0
France,2020,172530.0
France,2021,172530.0
Germany,1990,113000.0
Germany,1991,113054.0
Germany,1992,113108.0
Germany,1993,113162.0
Germany,1994,113216.0
Germany,1995,113270.0
Germany,1996,113324.0
Germany,1997,113378.0
Germany,1998,113432.0
Germany,1999,113486.0
Germany,2000,113540.0
Germany,2001,113595.0
Germany,2002,113650.0
Germany,2003,113705.0
Germany,2004,113760.0
Germany,2005,113815.0
Germany,2006,113870.0
Germany,2007,113925.0
Germany,2008,113980.0
Germany,2009,114035.0
Germany,2010,114090.0
Germany,2011,114110.0
Germany,2012,114130.0
Germany,2013,114150.0
Germany,2014,114170.0
Germany,2015,114190.0
Germany,2016,114190.0
Germany,2017,114190.0
Germany,2018,114190.0
Germany,2019,114190.0
Germany,2020,114190.0
Germany,2021,114190.0
Greece,1990,32985.51
Greece,1991,33287189.0
Greece,1992,33588867.0
Greece,1993,33890546.0
Greece,1994,34192224.0
Greece,1995,34493903.0
Greece,1996,34795582.0
Greece,1997,35097.26
Greece,1998,35398939.0
Greece,1999,35700617.0
Greece,2000,36002296.0
Greece,2001,36303869.0
Greece,2002,36605443.0
Greece,2003,36907.016
Greece,2004,37208.59
Greece,2005,37510163.0
Greece,2006,37811.736
Greece,2007,38113.31
Greece,2008,38414883.0
Greece,2009,38716457.0
Greece,2010,39018.03
Greece,2011,39018.03
Greece,2012,39018.03
Greece,2013,39018.03
Greece,2014,39018.03
Greece,2015,39018.03
Greece,2016,39018.0
Greece,2017,39018.0
Greece,2018,39018.0
Greece,2019,39018.0
Greece,2020,39018.0
Greece,2021,39018.0
Hungary,1990,18139.0
Hungary,1991,18246.27
Hungary,1992,18353.54
Hungary,1993,18460.81
Hungary,1994,18568.08
Hungary,1995,18675.35
Hungary,1996,18782.62
Hungary,1997,18889.89
Hungary,1998,18997.16
Hungary,1999,19104.43
Hungary,2000,19211.7
Hungary,2001,19336.92
Hungary,2002,19462.14
Hungary,2003,19587.36
Hungary,2004,19712.58
Hungary,2005,19837.8
Hungary,2006,19963.02
Hungary,2007,20088.24
Hungary,2008,20213.46
Hungary,2009,20338.68
Hungary,2010,20463.9
Hungary,2011,20492.76
Hungary,2012,20521.62
Hungary,2013,20550.48
Hungary,2014,20579.340000000004
Hungary,2015,20608.2
Hungary,2016,20587.3
Hungary,2017,20572.7
Hungary,2018,20559.2
Hungary,2019,20544.7
Hungary,2020,20530.1
Hungary,2021,20530.1
Ireland,1990,4616.4
Ireland,1991,4785.12
Ireland,1992,4953.84
Ireland,1993,5122.56
Ireland,1994,5291.280000000001
Ireland,1995,5460.0
Ireland,1996,5628.719999999999
Ireland,1997,5797.4400000000005
Ireland,1998,5966.16
Ireland,1999,6134.880000000001
Ireland,2000,6303.6
Ireland,2001,6393.62
Ireland,2002,6483.64
Ireland,2003,6573.66
Ireland,2004,6663.68
Ireland,2005,6753.7
Ireland,2006,6843.719999999999
Ireland,2007,6933.74
Ireland,2008,7023.76
Ireland,2009,7113.780000000001
Ireland,2010,7203.8
Ireland,2011,7272.380000000001
Ireland,2012,7340.96
Ireland,2013,7409.539999999999
Ireland,2014,7478.12
Ireland,2015,7546.7
Ireland,2016,7623.5
Ireland,2017,7700.2
Ireland,2018,7740.2
Ireland,2019,7780.2
Ireland,2020,7820.2
Ireland,2021,7820.2
Italy,1990,75897.5
Italy,1991,76677.0
Italy,1992,77456.5
Italy,1993,78236.0
Italy,1994,79015.5
Italy,1995,79795.0
Italy,1996,80574.5
Italy,1997,81354.0
Italy,1998,82133.5
Italy,1999,82913.0
Italy,2000,83692.5
Italy,2001,84351.29000000001
Italy,2002,85010.08
Italy,2003,85668.87000000001
Italy,2004,86327.66
Italy,2005,86986.45000000001
Italy,2006,87645.23999999999
Italy,2007,88304.03
Italy,2008,88962.81999999999
Italy,2009,89621.61
Italy,2010,90280.4
Italy,2011,90818.48
Italy,2012,91356.56
Italy,2013,91894.64
Italy,2014,92432.72
Italy,2015,92970.8
Italy,2016,93508.9
Italy,2017,94047.0
Italy,2018,94585.1
Italy,2019,95123.2
Italy,2020,95661.3
Italy,2021,95661.3
Latvia,1992,31866.0
Latvia,1993,31934.0
Latvia,1994,32002.0
Latvia,1995,32070.0
Latvia,1996,32138.0
Latvia,1997,32206.0
Latvia,1998,32274.0
Latvia,1999,32342.0
Latvia,2000,32410.0
Latvia,2001,32541.120000000003
Latvia,2002,32672.24
Latvia,2003,32803.36
Latvia,2004,32934.48
Latvia,2005,33065.6
Latvia,2006,33196.72
Latvia,2007,33327.840000000004
Latvia,2008,33458.96
Latvia,2009,33590.08
Latvia,2010,33721.2
Latvia,2011,33759.84
Latvia,2012,33798.48
Latvia,2013,33837.12
Latvia,2014,33875.76
Latvia,2015,33914.4
Latvia,2016,33953.1
Latvia,2017,33991.8
Latvia,2018,34030.5
Latvia,2019,34069.2
Latvia,2020,34107.9
Latvia,2021,34107.9
Lithuania,1992,19600.0
Lithuania,1993,19675.0
Lithuania,1994,19750.0
Lithuania,1995,19825.0
Lithuania,1996,19900.0
Lithuania,1997,19975.0
Lithuania,1998,20050.0
Lithuania,1999,20125.0
Lithuania,2000,20200.0
Lithuania,2001,20350.0
Lithuania,2002,20500.0
Lithuania,2003,20650.0
Lithuania,2004,20800.0
Lithuania,2005,20950.0
Lithuania,2006,21100.0
Lithuania,2007,21250.0
Lithuania,2008,21400.0
Lithuania,2009,21550.0
Lithuania,2010,21700.0
Lithuania,2011,21734.0
Lithuania,2012,21768.0
Lithuania,2013,21802.0
Lithuania,2014,21836.0
Lithuania,2015,21870.0
Lithuania,2016,21900.0
Lithuania,2017,21960.0
Lithuania,2018,21980.0
Lithuania,2019,22000.0
Lithuania,2020,22010.0
Lithuania,2021,22010.0
Luxembourg,2000,867.0
Luxembourg,2001,869.0
Luxembourg,2002,871.0
Luxembourg,2003,873.0
Luxembourg,2004,875.0
Luxembourg,2005,877.0
Luxembourg,2006,879.0
Luxembourg,2007,881.0
Luxembourg,2008,883.0
Luxembourg,2009,885.0
Luxembourg,2010,887.0
Luxembourg,2011,887.0
Luxembourg,2012,887.0
Luxembourg,2013,887.0
Luxembourg,2014,887.0
Luxembourg,2015,887.0
Luxembourg,2016,887.0
Luxembourg,2017,887.0
Luxembourg,2018,887.0
Luxembourg,2019,887.0
Luxembourg,2020,887.0
Luxembourg,2021,887.0
Malta,1990,3.5
Malta,1991,3.5
Malta,1992,3.5
Malta,1993,3.5
Malta,1994,3.5
Malta,1995,3.5
Malta,1996,3.5
Malta,1997,3.5
Malta,1998,3.5
Malta,1999,3.5
Malta,2000,3.5
Malta,2001,3.5
Malta,2002,3.5
Malta,2003,3.5
Malta,2004,3.5
Malta,2005,3.5
Malta,2006,3.5
Malta,2007,3.5
Malta,2008,3.5
Malta,2009,3.5
Malta,2010,3.5
Malta,2011,3.5
Malta,2012,3.5
Malta,2013,3.5
Malta,2014,3.5
Malta,2015,3.5
Malta,2016,3.8
Malta,2017,4.2
Malta,2018,4.6000000000000005
Malta,2019,4.6000000000000005
Malta,2020,4.6000000000000005
Malta,2021,4.6000000000000005
Netherlands,1990,3453.3
Netherlands,1991,3467.4700000000003
Netherlands,1992,3481.64
Netherlands,1993,3495.8100000000004
Netherlands,1994,3509.98
Netherlands,1995,3524.15
Netherlands,1996,3538.32
Netherlands,1997,3552.49
Netherlands,1998,3566.66
Netherlands,1999,3580.8300000000004
Netherlands,2000,3595.0
Netherlands,2001,3608.980000000001
Netherlands,2002,3622.96
Netherlands,2003,3636.94
Netherlands,2004,3650.92
Netherlands,2005,3664.9
Netherlands,2006,3678.88
Netherlands,2007,3692.86
Netherlands,2008,3706.84
Netherlands,2009,3720.82
Netherlands,2010,3734.8
Netherlands,2011,3717.5
Netherlands,2012,3700.2
Netherlands,2013,3682.9
Netherlands,2014,3665.6
Netherlands,2015,3648.3
Netherlands,2016,3657.6
Netherlands,2017,3667.0
Netherlands,2018,3676.3
Netherlands,2019,3685.7
Netherlands,2020,3695.0
Netherlands,2021,3695.0
Poland,1990,88820.0
Poland,1991,88997.0
Poland,1992,89174.0
Poland,1993,89351.0
Poland,1994,89528.0
Poland,1995,89705.0
Poland,1996,89882.0
Poland,1997,90059.0
Poland,1998,90236.0
Poland,1999,90413.0
Poland,2000,90590.0
Poland,2001,90860.0
Poland,2002,91130.0
Poland,2003,91400.0
Poland,2004,91670.0
Poland,2005,91940.0
Poland,2006,92210.0
Poland,2007,92480.0
Poland,2008,92750.0
Poland,2009,93020.0
Poland,2010,93290.0
Poland,2011,93472.0
Poland,2012,93654.0
Poland,2013,93836.0
Poland,2014,94018.0
Poland,2015,94200.0
Poland,2016,94350.0
Poland,2017,94470.0
Poland,2018,94590.0
Poland,2019,94710.0
Poland,2020,94830.0
Poland,2021,94830.0
Portugal,1990,33990.0
Portugal,1991,33872.0
Portugal,1992,33754.0
Portugal,1993,33636.0
Portugal,1994,33518.0
Portugal,1995,33400.0
Portugal,1996,33282.0
Portugal,1997,33164.0
Portugal,1998,33046.0
Portugal,1999,32928.0
Portugal,2000,32810.0
Portugal,2001,32781.0
Portugal,2002,32752.0
Portugal,2003,32723.0
Portugal,2004,32694.0
Portugal,2005,32665.0
Portugal,2006,32636.0
Portugal,2007,32607.0
Portugal,2008,32578.0
Portugal,2009,32549.0
Portugal,2010,32520.0
Portugal,2011,32640.0
Portugal,2012,32760.0
Portugal,2013,32880.0
Portugal,2014,33000.0
Portugal,2015,33120.0
Portugal,2016,33120.0
Portugal,2017,33120.0
Portugal,2018,33120.0
Portugal,2019,33120.0
Portugal,2020,33120.0
Portugal,2021,33120.0
Romania,1990,63710.0
Romania,1991,63705.0
Romania,1992,63700.0
Romania,1993,63695.0
Romania,1994,63690.0
Romania,1995,63685.0
Romania,1996,63680.0
Romania,1997,63675.0
Romania,1998,63670.0
Romania,1999,63665.0
Romania,2000,63660.0
Romania,2001,63809.0
Romania,2002,63958.0
Romania,2003,64107.0
Romania,2004,64256.0
Romania,2005,64405.0
Romania,2006,64554.0
Romania,2007,64703.0
Romania,2008,64852.0
Romania,2009,65001.0
Romania,2010,65150.0
Romania,2011,65921.92
Romania,2012,66693.84
Romania,2013,67465.76
Romania,2014,68237.68
Romania,2015,69009.6
Romania,2016,69290.5
Romania,2017,69290.5
Romania,2018,69290.5
Romania,2019,69290.5
Romania,2020,69290.5
Romania,2021,69290.5
Slovakia,1993,19021.59
Slovakia,1994,19020.52
Slovakia,1995,19019.45
Slovakia,1996,19018.38
Slovakia,1997,19017.31
Slovakia,1998,19016.24
Slovakia,1999,19015.17
Slovakia,2000,19014.1
Slovakia,2001,19030.6
Slovakia,2002,19047.1
Slovakia,2003,19063.6
Slovakia,2004,19080.1
Slovakia,2005,19096.6
Slovakia,2006,19113.1
Slovakia,2007,19129.6
Slovakia,2008,19146.1
Slovakia,2009,19162.6
Slovakia,2010,19179.1
Slovakia,2011,19186.78
Slovakia,2012,19194.46
Slovakia,2013,19202.14
Slovakia,2014,19209.82
Slovakia,2015,19217.5
Slovakia,2016,19233.7
Slovakia,2017,19259.0
Slovakia,2018,19259.0
Slovakia,2019,19259.0
Slovakia,2020,19259.0
Slovakia,2021,19259.0
Slovenia,1992,11970.0
Slovenia,1993,12015.0
Slovenia,1994,12060.0
Slovenia,1995,12105.0
Slovenia,1996,12150.0
Slovenia,1997,12195.0
Slovenia,1998,12240.0
Slovenia,1999,12285.0
Slovenia,2000,12330.0
Slovenia,2001,12344.0
Slovenia,2002,12358.0
Slovenia,2003,12372.0
Slovenia,2004,12386.0
Slovenia,2005,12400.0
Slovenia,2006,12414.0
Slovenia,2007,12428.0
Slovenia,2008,12442.0
Slovenia,2009,12456.0
Slovenia,2010,12470.0
Slovenia,2011,12472.0
Slovenia,2012,12474.0
Slovenia,2013,12476.0
Slovenia,2014,12478.0
Slovenia,2015,12480.0
Slovenia,2016,12459.7
Slovenia,2017,12439.3
Slovenia,2018,12419.0
Slovenia,2019,12398.6
Slovenia,2020,12378.3
Slovenia,2021,12378.3
Spain,1990,139046.6
Spain,1991,142235.87
Spain,1992,145425.13999999998
Spain,1993,148614.41
Spain,1994,151803.68
Spain,1995,154992.95
Spain,1996,158182.22
Spain,1997,161371.49
Spain,1998,164560.76
Spain,1999,167750.03
Spain,2000,170939.3
Spain,2001,172390.71
Spain,2002,173842.12
Spain,2003,175293.53
Spain,2004,176744.94
Spain,2005,178196.34999999998
Spain,2006,179647.76
Spain,2007,181099.17
Spain,2008,182550.58
Spain,2009,184001.99
Spain,2010,185453.4
Spain,2011,185465.08
Spain,2012,185476.76
Spain,2013,185488.44
Spain,2014,185500.12
Spain,2015,185511.8
Spain,2016,185552.4
Spain,2017,185593.0
Spain,2018,185635.9
Spain,2019,185678.8
Spain,2020,185721.7
Spain,2021,185721.7
Sweden,1990,280630.0
Sweden,1991,280730.0
Sweden,1992,280830.0
Sweden,1993,280930.0
Sweden,1994,281030.0
Sweden,1995,281130.0
Sweden,1996,281230.0
Sweden,1997,281330.0
Sweden,1998,281430.0
Sweden,1999,281530.0
Sweden,2000,281630.0
Sweden,2001,281540.0
Sweden,2002,281450.0
Sweden,2003,281360.0
Sweden,2004,281270.0
Sweden,2005,281180.0
Sweden,2006,281090.0
Sweden,2007,281000.0
Sweden,2008,280910.0
Sweden,2009,280820.0
Sweden,2010,280730.0
Sweden,2011,280544.0
Sweden,2012,280358.0
Sweden,2013,280172.0
Sweden,2014,279986.0
Sweden,2015,279800.0
Sweden,2016,279800.0
Sweden,2017,279800.0
Sweden,2018,279800.0
Sweden,2019,279800.0
Sweden,2020,279800.0
Sweden,2021,279800.0
