country,year,inhabs_in_millions
Austria,1990,7.68
Austria,1991,7.76
Austria,1992,7.84
Austria,1993,7.91
Austria,1994,7.94
Austria,1995,7.95
Austria,1996,7.96
Austria,1997,7.97
Austria,1998,7.98
Austria,1999,7.99
Austria,2000,8.01
Austria,2001,8.04
Austria,2002,8.08
Austria,2003,8.12
Austria,2004,8.17
Austria,2005,8.23
Austria,2006,8.27
Austria,2007,8.29
Austria,2008,8.32
Austria,2009,8.34
Austria,2010,8.36
Austria,2011,8.39
Austria,2012,8.43
Austria,2013,8.48
Austria,2014,8.55
Austria,2015,8.64
Austria,2016,8.74
Austria,2017,8.8
Austria,2018,8.84
Austria,2019,8.88
Austria,2020,8.91
Austria,2021,8.92
Belgium,2000,10.26
Belgium,2001,10.31
Belgium,2002,10.36
Belgium,2003,10.4
Belgium,2004,10.46
Belgium,2005,10.52
Belgium,2006,10.58
Belgium,2007,10.65
Belgium,2008,10.73
Belgium,2009,10.8
Belgium,2010,10.88
Belgium,2011,10.96
Belgium,2012,11.03
Belgium,2013,11.1
Belgium,2014,11.18
Belgium,2015,11.25
Belgium,2016,11.32
Belgium,2017,11.38
Belgium,2018,11.45
Belgium,2019,11.51
Belgium,2020,11.56
Belgium,2021,11.61
Belgium-Luxembourg,1990,10.34
Belgium-Luxembourg,1991,10.37
Belgium-Luxembourg,1992,10.41
Belgium-Luxembourg,1993,10.44
Belgium-Luxembourg,1994,10.47
Belgium-Luxembourg,1995,10.5
Belgium-Luxembourg,1996,10.54
Belgium-Luxembourg,1997,10.57
Belgium-Luxembourg,1998,10.61
Belgium-Luxembourg,1999,10.65
Bulgaria,1990,8.77
Bulgaria,1991,8.72
Bulgaria,1992,8.67
Bulgaria,1993,8.61
Bulgaria,1994,8.55
Bulgaria,1995,8.48
Bulgaria,1996,8.4
Bulgaria,1997,8.32
Bulgaria,1998,8.23
Bulgaria,1999,8.16
Bulgaria,2000,8.1
Bulgaria,2001,8.03
Bulgaria,2002,7.97
Bulgaria,2003,7.92
Bulgaria,2004,7.87
Bulgaria,2005,7.82
Bulgaria,2006,7.77
Bulgaria,2007,7.72
Bulgaria,2008,7.67
Bulgaria,2009,7.63
Bulgaria,2010,7.59
Bulgaria,2011,7.54
Bulgaria,2012,7.49
Bulgaria,2013,7.43
Bulgaria,2014,7.37
Bulgaria,2015,7.31
Bulgaria,2016,7.25
Bulgaria,2017,7.18
Bulgaria,2018,7.12
Bulgaria,2019,7.05
Bulgaria,2020,6.98
Bulgaria,2021,6.89
Croatia,1992,4.8
Croatia,1993,4.79
Croatia,1994,4.82
Croatia,1995,4.81
Croatia,1996,4.76
Croatia,1997,4.71
Croatia,1998,4.66
Croatia,1999,4.61
Croatia,2000,4.55
Croatia,2001,4.51
Croatia,2002,4.48
Croatia,2003,4.46
Croatia,2004,4.44
Croatia,2005,4.43
Croatia,2006,4.42
Croatia,2007,4.41
Croatia,2008,4.39
Croatia,2009,4.38
Croatia,2010,4.37
Croatia,2011,4.35
Croatia,2012,4.33
Croatia,2013,4.31
Croatia,2014,4.28
Croatia,2015,4.25
Croatia,2016,4.22
Croatia,2017,4.19
Croatia,2018,4.16
Croatia,2019,4.13
Croatia,2020,4.1
Croatia,2021,4.06
Cyprus,1990,0.79
Cyprus,1991,0.8
Cyprus,1992,0.81
Cyprus,1993,0.83
Cyprus,1994,0.84
Cyprus,1995,0.86
Cyprus,1996,0.88
Cyprus,1997,0.9
Cyprus,1998,0.91
Cyprus,1999,0.93
Cyprus,2000,0.95
Cyprus,2001,0.96
Cyprus,2002,0.98
Cyprus,2003,1.0
Cyprus,2004,1.02
Cyprus,2005,1.04
Cyprus,2006,1.06
Cyprus,2007,1.07
Cyprus,2008,1.09
Cyprus,2009,1.11
Cyprus,2010,1.13
Cyprus,2011,1.15
Cyprus,2012,1.16
Cyprus,2013,1.17
Cyprus,2014,1.18
Cyprus,2015,1.19
Cyprus,2016,1.2
Cyprus,2017,1.21
Cyprus,2018,1.22
Cyprus,2019,1.23
Cyprus,2020,1.24
Cyprus,2021,1.24
Czechia,1993,10.32
Czechia,1994,10.32
Czechia,1995,10.31
Czechia,1996,10.3
Czechia,1997,10.28
Czechia,1998,10.26
Czechia,1999,10.25
Czechia,2000,10.23
Czechia,2001,10.23
Czechia,2002,10.24
Czechia,2003,10.25
Czechia,2004,10.26
Czechia,2005,10.28
Czechia,2006,10.3
Czechia,2007,10.34
Czechia,2008,10.38
Czechia,2009,10.42
Czechia,2010,10.46
Czechia,2011,10.5
Czechia,2012,10.51
Czechia,2013,10.51
Czechia,2014,10.52
Czechia,2015,10.52
Czechia,2016,10.53
Czechia,2017,10.53
Czechia,2018,10.53
Czechia,2019,10.54
Czechia,2020,10.53
Czechia,2021,10.51
Denmark,1990,5.14
Denmark,1991,5.16
Denmark,1992,5.18
Denmark,1993,5.19
Denmark,1994,5.21
Denmark,1995,5.24
Denmark,1996,5.26
Denmark,1997,5.28
Denmark,1998,5.3
Denmark,1999,5.32
Denmark,2000,5.34
Denmark,2001,5.36
Denmark,2002,5.38
Denmark,2003,5.4
Denmark,2004,5.42
Denmark,2005,5.44
Denmark,2006,5.46
Denmark,2007,5.48
Denmark,2008,5.5
Denmark,2009,5.53
Denmark,2010,5.55
Denmark,2011,5.58
Denmark,2012,5.6
Denmark,2013,5.63
Denmark,2014,5.65
Denmark,2015,5.68
Denmark,2016,5.71
Denmark,2017,5.74
Denmark,2018,5.77
Denmark,2019,5.8
Denmark,2020,5.83
Denmark,2021,5.85
Estonia,1992,1.54
Estonia,1993,1.5
Estonia,1994,1.48
Estonia,1995,1.45
Estonia,1996,1.43
Estonia,1997,1.42
Estonia,1998,1.41
Estonia,1999,1.4
Estonia,2000,1.4
Estonia,2001,1.39
Estonia,2002,1.38
Estonia,2003,1.37
Estonia,2004,1.36
Estonia,2005,1.35
Estonia,2006,1.35
Estonia,2007,1.34
Estonia,2008,1.34
Estonia,2009,1.33
Estonia,2010,1.33
Estonia,2011,1.33
Estonia,2012,1.32
Estonia,2013,1.32
Estonia,2014,1.31
Estonia,2015,1.31
Estonia,2016,1.32
Estonia,2017,1.32
Estonia,2018,1.32
Estonia,2019,1.33
Estonia,2020,1.33
Estonia,2021,1.33
Finland,1990,4.99
Finland,1991,5.01
Finland,1992,5.04
Finland,1993,5.07
Finland,1994,5.09
Finland,1995,5.11
Finland,1996,5.12
Finland,1997,5.14
Finland,1998,5.15
Finland,1999,5.17
Finland,2000,5.18
Finland,2001,5.19
Finland,2002,5.2
Finland,2003,5.21
Finland,2004,5.23
Finland,2005,5.25
Finland,2006,5.27
Finland,2007,5.29
Finland,2008,5.31
Finland,2009,5.34
Finland,2010,5.36
Finland,2011,5.39
Finland,2012,5.41
Finland,2013,5.44
Finland,2014,5.46
Finland,2015,5.48
Finland,2016,5.5
Finland,2017,5.51
Finland,2018,5.52
Finland,2019,5.52
Finland,2020,5.53
Finland,2021,5.54
France,1990,56.41
France,1991,56.65
France,1992,56.86
France,1993,57.05
France,1994,57.23
France,1995,57.42
France,1996,57.62
France,1997,57.84
France,1998,58.08
France,1999,58.35
France,2000,58.67
France,2001,59.01
France,2002,59.37
France,2003,59.73
France,2004,60.11
France,2005,60.51
France,2006,60.92
France,2007,61.33
France,2008,61.72
France,2009,62.09
France,2010,62.44
France,2011,62.78
France,2012,63.07
France,2013,63.34
France,2014,63.59
France,2015,63.81
France,2016,63.99
France,2017,64.14
France,2018,64.28
France,2019,64.4
France,2020,64.48
France,2021,64.53
Germany,1990,79.37
Germany,1991,79.8
Germany,1992,80.21
Germany,1993,80.57
Germany,1994,80.88
Germany,1995,81.12
Germany,1996,81.3
Germany,1997,81.44
Germany,1998,81.52
Germany,1999,81.56
Germany,2000,81.55
Germany,2001,81.51
Germany,2002,81.44
Germany,2003,81.35
Germany,2004,81.27
Germany,2005,81.21
Germany,2006,81.18
Germany,2007,81.18
Germany,2008,81.22
Germany,2009,81.26
Germany,2010,81.33
Germany,2011,81.42
Germany,2012,81.55
Germany,2013,81.68
Germany,2014,81.86
Germany,2015,82.07
Germany,2016,82.33
Germany,2017,82.62
Germany,2018,82.9
Germany,2019,83.15
Germany,2020,83.33
Germany,2021,83.41
Greece,1990,10.3
Greece,1991,10.39
Greece,1992,10.48
Greece,1993,10.56
Greece,1994,10.65
Greece,1995,10.73
Greece,1996,10.8
Greece,1997,10.88
Greece,1998,10.94
Greece,1999,10.99
Greece,2000,11.04
Greece,2001,11.07
Greece,2002,11.1
Greece,2003,11.11
Greece,2004,11.12
Greece,2005,11.11
Greece,2006,11.11
Greece,2007,11.09
Greece,2008,11.07
Greece,2009,11.06
Greece,2010,11.03
Greece,2011,11.0
Greece,2012,10.96
Greece,2013,10.91
Greece,2014,10.86
Greece,2015,10.81
Greece,2016,10.75
Greece,2017,10.69
Greece,2018,10.63
Greece,2019,10.57
Greece,2020,10.51
Greece,2021,10.45
Hungary,1990,10.38
Hungary,1991,10.37
Hungary,1992,10.37
Hungary,1993,10.36
Hungary,1994,10.34
Hungary,1995,10.33
Hungary,1996,10.31
Hungary,1997,10.29
Hungary,1998,10.26
Hungary,1999,10.23
Hungary,2000,10.2
Hungary,2001,10.18
Hungary,2002,10.15
Hungary,2003,10.12
Hungary,2004,10.09
Hungary,2005,10.07
Hungary,2006,10.06
Hungary,2007,10.04
Hungary,2008,10.02
Hungary,2009,10.01
Hungary,2010,9.99
Hungary,2011,9.95
Hungary,2012,9.92
Hungary,2013,9.89
Hungary,2014,9.87
Hungary,2015,9.84
Hungary,2016,9.82
Hungary,2017,9.79
Hungary,2018,9.78
Hungary,2019,9.77
Hungary,2020,9.75
Hungary,2021,9.71
Ireland,1990,3.49
Ireland,1991,3.5
Ireland,1992,3.53
Ireland,1993,3.55
Ireland,1994,3.56
Ireland,1995,3.58
Ireland,1996,3.61
Ireland,1997,3.64
Ireland,1998,3.68
Ireland,1999,3.72
Ireland,2000,3.77
Ireland,2001,3.83
Ireland,2002,3.89
Ireland,2003,3.96
Ireland,2004,4.03
Ireland,2005,4.12
Ireland,2006,4.23
Ireland,2007,4.36
Ireland,2008,4.45
Ireland,2009,4.5
Ireland,2010,4.52
Ireland,2011,4.54
Ireland,2012,4.56
Ireland,2013,4.59
Ireland,2014,4.62
Ireland,2015,4.67
Ireland,2016,4.72
Ireland,2017,4.77
Ireland,2018,4.83
Ireland,2019,4.9
Ireland,2020,4.95
Ireland,2021,4.99
Italy,1990,56.76
Italy,1991,56.79
Italy,1992,56.83
Italy,1993,56.87
Italy,1994,56.88
Italy,1995,56.89
Italy,1996,56.9
Italy,1997,56.93
Italy,1998,56.94
Italy,1999,56.95
Italy,2000,56.97
Italy,2001,56.99
Italy,2002,57.11
Italy,2003,57.43
Italy,2004,57.86
Italy,2005,58.2
Italy,2006,58.43
Italy,2007,58.78
Italy,2008,59.22
Italy,2009,59.56
Italy,2010,59.82
Italy,2011,60.03
Italy,2012,60.19
Italy,2013,60.31
Italy,2014,60.32
Italy,2015,60.23
Italy,2016,60.12
Italy,2017,60.0
Italy,2018,59.88
Italy,2019,59.73
Italy,2020,59.5
Italy,2021,59.24
Latvia,1992,2.66
Latvia,1993,2.64
Latvia,1994,2.61
Latvia,1995,2.57
Latvia,1996,2.53
Latvia,1997,2.5
Latvia,1998,2.46
Latvia,1999,2.43
Latvia,2000,2.39
Latvia,2001,2.36
Latvia,2002,2.33
Latvia,2003,2.29
Latvia,2004,2.26
Latvia,2005,2.23
Latvia,2006,2.2
Latvia,2007,2.18
Latvia,2008,2.15
Latvia,2009,2.13
Latvia,2010,2.1
Latvia,2011,2.08
Latvia,2012,2.05
Latvia,2013,2.03
Latvia,2014,2.01
Latvia,2015,1.99
Latvia,2016,1.97
Latvia,2017,1.95
Latvia,2018,1.94
Latvia,2019,1.92
Latvia,2020,1.9
Latvia,2021,1.87
Lithuania,1992,3.8
Lithuania,1993,3.79
Lithuania,1994,3.77
Lithuania,1995,3.75
Lithuania,1996,3.72
Lithuania,1997,3.69
Lithuania,1998,3.67
Lithuania,1999,3.63
Lithuania,2000,3.6
Lithuania,2001,3.56
Lithuania,2002,3.52
Lithuania,2003,3.47
Lithuania,2004,3.42
Lithuania,2005,3.37
Lithuania,2006,3.32
Lithuania,2007,3.27
Lithuania,2008,3.22
Lithuania,2009,3.18
Lithuania,2010,3.14
Lithuania,2011,3.1
Lithuania,2012,3.06
Lithuania,2013,3.03
Lithuania,2014,2.99
Lithuania,2015,2.96
Lithuania,2016,2.93
Lithuania,2017,2.9
Lithuania,2018,2.88
Lithuania,2019,2.85
Lithuania,2020,2.82
Lithuania,2021,2.79
Luxembourg,2000,0.44
Luxembourg,2001,0.44
Luxembourg,2002,0.45
Luxembourg,2003,0.45
Luxembourg,2004,0.46
Luxembourg,2005,0.46
Luxembourg,2006,0.47
Luxembourg,2007,0.48
Luxembourg,2008,0.49
Luxembourg,2009,0.5
Luxembourg,2010,0.51
Luxembourg,2011,0.52
Luxembourg,2012,0.53
Luxembourg,2013,0.54
Luxembourg,2014,0.56
Luxembourg,2015,0.57
Luxembourg,2016,0.58
Luxembourg,2017,0.6
Luxembourg,2018,0.61
Luxembourg,2019,0.62
Luxembourg,2020,0.63
Luxembourg,2021,0.64
Malta,1990,0.37
Malta,1991,0.37
Malta,1992,0.37
Malta,1993,0.38
Malta,1994,0.38
Malta,1995,0.38
Malta,1996,0.39
Malta,1997,0.39
Malta,1998,0.39
Malta,1999,0.4
Malta,2000,0.4
Malta,2001,0.4
Malta,2002,0.4
Malta,2003,0.41
Malta,2004,0.41
Malta,2005,0.41
Malta,2006,0.41
Malta,2007,0.41
Malta,2008,0.41
Malta,2009,0.42
Malta,2010,0.42
Malta,2011,0.42
Malta,2012,0.43
Malta,2013,0.44
Malta,2014,0.45
Malta,2015,0.46
Malta,2016,0.47
Malta,2017,0.48
Malta,2018,0.49
Malta,2019,0.5
Malta,2020,0.52
Malta,2021,0.53
Netherlands,1990,14.94
Netherlands,1991,15.05
Netherlands,1992,15.15
Netherlands,1993,15.25
Netherlands,1994,15.35
Netherlands,1995,15.45
Netherlands,1996,15.54
Netherlands,1997,15.63
Netherlands,1998,15.72
Netherlands,1999,15.81
Netherlands,2000,15.9
Netherlands,2001,15.98
Netherlands,2002,16.06
Netherlands,2003,16.13
Netherlands,2004,16.2
Netherlands,2005,16.26
Netherlands,2006,16.33
Netherlands,2007,16.39
Netherlands,2008,16.46
Netherlands,2009,16.54
Netherlands,2010,16.62
Netherlands,2011,16.7
Netherlands,2012,16.79
Netherlands,2013,16.87
Netherlands,2014,16.95
Netherlands,2015,17.04
Netherlands,2016,17.12
Netherlands,2017,17.21
Netherlands,2018,17.29
Netherlands,2019,17.36
Netherlands,2020,17.43
Netherlands,2021,17.5
Poland,1990,38.06
Poland,1991,38.17
Poland,1992,38.25
Poland,1993,38.32
Poland,1994,38.38
Poland,1995,38.4
Poland,1996,38.4
Poland,1997,38.4
Poland,1998,38.38
Poland,1999,38.35
Poland,2000,38.5
Poland,2001,38.66
Poland,2002,38.65
Poland,2003,38.62
Poland,2004,38.6
Poland,2005,38.58
Poland,2006,38.55
Poland,2007,38.52
Poland,2008,38.52
Poland,2009,38.56
Poland,2010,38.6
Poland,2011,38.62
Poland,2012,38.63
Poland,2013,38.61
Poland,2014,38.58
Poland,2015,38.55
Poland,2016,38.53
Poland,2017,38.53
Poland,2018,38.52
Poland,2019,38.49
Poland,2020,38.43
Poland,2021,38.31
Portugal,1990,10.01
Portugal,1991,9.99
Portugal,1992,9.98
Portugal,1993,9.99
Portugal,1994,10.02
Portugal,1995,10.05
Portugal,1996,10.09
Portugal,1997,10.13
Portugal,1998,10.18
Portugal,1999,10.23
Portugal,2000,10.3
Portugal,2001,10.37
Portugal,2002,10.43
Portugal,2003,10.47
Portugal,2004,10.5
Portugal,2005,10.52
Portugal,2006,10.54
Portugal,2007,10.57
Portugal,2008,10.58
Portugal,2009,10.59
Portugal,2010,10.59
Portugal,2011,10.56
Portugal,2012,10.52
Portugal,2013,10.46
Portugal,2014,10.41
Portugal,2015,10.37
Portugal,2016,10.33
Portugal,2017,10.31
Portugal,2018,10.29
Portugal,2019,10.29
Portugal,2020,10.3
Portugal,2021,10.29
Romania,1990,22.84
Romania,1991,22.84
Romania,1992,22.8
Romania,1993,22.72
Romania,1994,22.63
Romania,1995,22.53
Romania,1996,22.42
Romania,1997,22.29
Romania,1998,22.16
Romania,1999,22.04
Romania,2000,21.92
Romania,2001,21.8
Romania,2002,21.65
Romania,2003,21.48
Romania,2004,21.29
Romania,2005,21.09
Romania,2006,20.91
Romania,2007,20.74
Romania,2008,20.6
Romania,2009,20.47
Romania,2010,20.34
Romania,2011,20.22
Romania,2012,20.14
Romania,2013,20.07
Romania,2014,20.0
Romania,2015,19.91
Romania,2016,19.8
Romania,2017,19.7
Romania,2018,19.61
Romania,2019,19.52
Romania,2020,19.44
Romania,2021,19.33
Slovakia,1993,5.32
Slovakia,1994,5.34
Slovakia,1995,5.35
Slovakia,1996,5.36
Slovakia,1997,5.37
Slovakia,1998,5.37
Slovakia,1999,5.37
Slovakia,2000,5.38
Slovakia,2001,5.38
Slovakia,2002,5.38
Slovakia,2003,5.37
Slovakia,2004,5.37
Slovakia,2005,5.38
Slovakia,2006,5.38
Slovakia,2007,5.38
Slovakia,2008,5.38
Slovakia,2009,5.39
Slovakia,2010,5.4
Slovakia,2011,5.4
Slovakia,2012,5.41
Slovakia,2013,5.41
Slovakia,2014,5.42
Slovakia,2015,5.42
Slovakia,2016,5.43
Slovakia,2017,5.44
Slovakia,2018,5.45
Slovakia,2019,5.45
Slovakia,2020,5.46
Slovakia,2021,5.45
Slovenia,1992,1.99
Slovenia,1993,1.99
Slovenia,1994,1.99
Slovenia,1995,1.99
Slovenia,1996,1.99
Slovenia,1997,1.99
Slovenia,1998,1.99
Slovenia,1999,1.99
Slovenia,2000,1.98
Slovenia,2001,1.98
Slovenia,2002,1.98
Slovenia,2003,1.99
Slovenia,2004,2.0
Slovenia,2005,2.0
Slovenia,2006,2.01
Slovenia,2007,2.02
Slovenia,2008,2.03
Slovenia,2009,2.05
Slovenia,2010,2.06
Slovenia,2011,2.07
Slovenia,2012,2.07
Slovenia,2013,2.07
Slovenia,2014,2.07
Slovenia,2015,2.08
Slovenia,2016,2.09
Slovenia,2017,2.1
Slovenia,2018,2.11
Slovenia,2019,2.11
Slovenia,2020,2.12
Slovenia,2021,2.12
Spain,1990,38.89
Spain,1991,39.0
Spain,1992,39.2
Spain,1993,39.42
Spain,1994,39.62
Spain,1995,39.81
Spain,1996,40.0
Spain,1997,40.18
Spain,1998,40.36
Spain,1999,40.54
Spain,2000,40.74
Spain,2001,40.97
Spain,2002,41.48
Spain,2003,42.23
Spain,2004,42.96
Spain,2005,43.69
Spain,2006,44.42
Spain,2007,45.25
Spain,2008,45.97
Spain,2009,46.37
Spain,2010,46.57
Spain,2011,46.73
Spain,2012,46.76
Spain,2013,46.6
Spain,2014,46.46
Spain,2015,46.43
Spain,2016,46.47
Spain,2017,46.58
Spain,2018,46.79
Spain,2019,47.13
Spain,2020,47.36
Spain,2021,47.49
Sweden,1990,8.55
Sweden,1991,8.59
Sweden,1992,8.64
Sweden,1993,8.68
Sweden,1994,8.72
Sweden,1995,8.76
Sweden,1996,8.79
Sweden,1997,8.81
Sweden,1998,8.83
Sweden,1999,8.85
Sweden,2000,8.87
Sweden,2001,8.9
Sweden,2002,8.93
Sweden,2003,8.96
Sweden,2004,9.0
Sweden,2005,9.05
Sweden,2006,9.1
Sweden,2007,9.16
Sweden,2008,9.23
Sweden,2009,9.3
Sweden,2010,9.38
Sweden,2011,9.47
Sweden,2012,9.56
Sweden,2013,9.65
Sweden,2014,9.75
Sweden,2015,9.85
Sweden,2016,9.95
Sweden,2017,10.06
Sweden,2018,10.16
Sweden,2019,10.27
Sweden,2020,10.37
Sweden,2021,10.47
